Time of Sem,Sem 0,Sem 1,Sem 2
Start,9 June 2025,5 August 2025,7 January 2026
End of classes,12 July 2025,22 November 2025,18 April 2026,7 May 2026
End,19 July 2025,3 December 2025,16 May 2026
